儲|s|cho|1
儴|s|shoo|1
儵|s|shuu|1
儷|s|ree|1
儿|s|jin|1
兀|s|kotsu|1
允|s|in|1
兂|s|shin|1
元|s|moto|2
兄|s|ani|1
充|s|juu|1
兆|s|choo|1
先|s|saki
光|s|hikari|3
克|s|koku|1
兌|s|da|1
免|s|men|1
兎|s|usagi
児|s|ji|1
党|s|too|1
兜|s|kabuto|1
兟|s|shin|1
兢|s|kyoo|1
入|s|nyuu|1
全|s|zen|1
兪|s|yu|1
八|s|hachi|2
公|s|koo|1
六|s|roku|1
兮|s|kee|1
共|s|kyoo|1
兵|s|hee|1
其|s|sono
具|s|gu
典|s|ten|1
兼|s|ken|1
兾|s|ki|1
冀|s|ki|1
内|s|nai|1
円|s|en|1
冉|s|zen|1
冊|s|satsu|1
冋|s|kee|1
册|s|satsu|1
再|s|sai|1
冎|s|ka|1
冏|s|kee|1
冑|s|chuu|1
冒|s|boo|1
冓|s|koo|1
冕|s|ben|1
冗|s|joo|1
冘|s|in|1
写|s|sha|1
冝|s|gi|1
冠|s|kan|1
冡|s|boo|1
冣|s|shu|1
冤|s|en|1
冥|s|mee|1
冪|s|beki|1
冬|s|fuyu|2
冭|s|tai|1
冱|s|go|1
冲|s|chuu|1
决|s|ketsu|1
冴|s|go|1
况|s|kyoo|1
冶|s|ya|1
冷|s|ree|1
冸|s|han|1
冺|s|min|1
冼|s|shoo|1
冽|s|retsu|1
冾|s|kyoo|1
冿|s|sen|1
凂|s|bai|1
凄|s|see|1
凅|s|ko|1
准|s|jun|1
凈|s|soo|1
凉|s|ryoo|1
凋|s|choo|1
凌|s|ryoo|1
凍|s|too|1
凑|s|minato
凒|s|gi|1
凓|s|ritsu|1
凕|s|myoo|1
凖|s|jun|1
凘|s|shi|1
凜|s|rin|1
凝|s|gyoo|1
几|s|ki|1
凡|s|bon|1
凥|s|kyo|1
処|s|sho|1
凧|s|tako|1
凩|s|kogarashi|2
凪|s|nagi
凰|s|ootori
凱|s|gai|1
凵|s|kan|1
凶|s|kyoo|1
凸|s|totsu|1
凹|s|oo|1
出|s|shutsu|1
函|s|kan|1
刀|s|katana|3
刁|s|choo|1
刃|s|ha|1
刅|s|soo|1
分|s|fun|1
切|s|setsu|1
刈|s|kari
刊|s|kan|1
刋|s|sen|1
刎|s|fun|1
刑|s|kee|1
划|s|ka|1
刔|s|ketsu|1
列|s|retsu|1
刘|s|ryuu|1
初|s|hatsu|2
刢|s|ree|1
判|s|han|1
別|s|betsu|1
刧|s|goo|1
利|s|ri|1
刪|s|san|1
刮|s|katsu|1
到|s|too|1
刲|s|kee|1
刳|s|ko|1
刵|s|ji|1
制|s|see|1
刷|s|satsu|1
券|s|ken|1
刹|s|setsu|1
刺|s|shi|1
刻|s|koku|1
刼|s|kyoo|1
剃|s|tee|1
剄|s|kee|1
剅|s|too|1
則|s|soku|1
剉|s|sa|1
削|s|saku|1
剋|s|koku|1
剌|s|ratsu|1
前|s|mae|1
剏|s|soo|1
剔|s|teki|1
剕|s|hi|1
剖|s|boo|1
剗|s|sen|1
剘|s|ki|1
剚|s|shi|1
剛|s|goo|1
剠|s|kee|1
剡|s|en|1
剣|s|ken|1
剤|s|zai|1
剥|s|haku|1
剦|s|en|1
剪|s|sen|1
剮|s|ka|1
副|s|fuku|1
剰|s|joo|1
割|s|wari
剳|s|too|1
剴|s|gai|1
創|s|soo|1
剹|s|riku|1
剽|s|hyoo|1
剿|s|shoo|1
劀|s|katsu|1
劂|s|ketsu|1
劃|s|kaku|1
劇|s|geki|1
劈|s|heki|1
劉|s|ryuu|1
劊|s|kai|1
劌|s|kee|1
劓|s|gi|1
劕|s|shitsu|1
力|s|chikara|3
劜|s|atsu|1
功|s|koo|1
加|s|ka|1
劣|s|retsu|1
劤|s|kin|1
劥|s|koo|1
劦|s|kyoo|1
助|s|jo|1
努|s|do|1
劫|s|goo|1
励|s|ree|1
労|s|roo|1
劶|s|koo|1
劷|s|yoo|1
劸|s|ai|1
効|s|koo|1
劺|s|mu|1
劻|s|kyoo|1
劼|s|kitsu|1
劽|s|retsu|1
劾|s|gai|1
勀|s|koku|1
勁|s|kee|1
勃|s|botsu|1
勄|s|bin|1
勅|s|choku|1
勆|s|roo|1
勇|s|yuu|1
勈|s|yoo|1
勉|s|ben|1
勍|s|kee|1
勏|s|hoo|1
勒|s|roku|1
動|s|doo|1
勘|s|kan|1
務|s|mu|1
勝|s|shoo|1
募|s|bo|1
勠|s|riku|1
勡|s|hyoo|1
勢|s|see|1
勣|s|seki|1
勤|s|kin|1
勦|s|soo|1
勧|s|kan|1
勨|s|yoo|1
勩|s|ee|1
勪|s|kyaku|1
勲|s|kun|1
勴|s|ryo|1
勵|s|ree|1
勹|s|hoo|1
勺|s|shaku|1
勾|s|koo|1
勿|s|motsu|1
匀|s|in|1
匁|s|monme|1
匂|s|nioi|2
匃|s|katsu|1
包|s|hoo|1
匆|s|soo|1
匈|s|kyoo|1
匊|s|kiku
匋|s|too|1
匌|s|koo|1
匍|s|ho|1
匐|s|huku|1
匕|s|saji|1
化|s|ka|1
北|s|kita
匘|s|noo|1
匙|s|saji|1
匚|s|hoo|1
匛|s|kyuu|1
匝|s|soo|1
匟|s|koo|1
匠|s|shoo|1
匡|s|kyoo|1
匣|s|koo|1
匯|s|wai|1
匱|s|hitsu|1
匸|s|kee|1
匹|s|hiki|1
区|s|ku|1
医|s|i|1
匾|s|hen|1
匿|s|toku|1
十|s|juu|1
卂|s|shin
千|s|sen|1
卅|s|sanjuu|1
升|s|shoo|1
午|s|go|1
卉|s|ki|1
半|s|han|1
卌|s|yonjuu|1
卍|s|manji
卑|s|hi|1
卒|s|sotsu|1
卓|s|taku|1
協|s|kyoo|1
南|s|minami
単|s|tan|1
卙|s|shoo|1
博|s|haku|1
卛|s|shutsu|1
卜|s|boku|1
卞|s|hen|1
占|s|sen|1
卡|s|soo|1
卣|s|yuu|1
卥|s|see|1
卦|s|ke|1
卬|s|kyoo|1
卭|s|kyoo|1
卮|s|shi|1
卯|s|u|1
印|s|shirushi
危|s|ki|1
即|s|soku|1
却|s|kyaku|1
卵|s|tamago|2
卸|s|oroshi|1
卾|s|gaku|1
卿|s|kyoo|1
厄|s|yaku|1
厇|s|taku|1
厈|s|kan|1
厎|s|shi|1
厓|s|gai|1
厔|s|shitsu|1
厖|s|boo|1
厘|s|rin|1
厙|s|sha|1
厚|s|koo|1
厝|s|saku|1
原|s|hara
厠|s|kawaya
厥|s|ketsu|1
厦|s|ka|1
厨|s|chuu|1
厩|s|kyuu|1
厪|s|kin|1
厫|s|goo|1
厭|s|en|1
厰|s|shoo|1
厲|s|ree|1
厳|s|gen|1
厶|s|boo|1
厷|s|koo|1
厸|s|rin|1
厺|s|kyo|1
去|s|kyo|1
厽|s|rui|1
参|s|san|1
又|s|mata|2
叉|s|mata|2
及|s|kyuu|1
友|s|tomo|1
双|s|soo|1
反|s|han|1
収|s|shuu|1
叔|s|shuku|1
叕|s|tetsu|1
取|s|shu|1
受|s|ju|1
叙|s|jo|1
叚|s|ka|1
叛|s|han|1
叟|s|soo|1
叡|s|ee|1
叢|s|soo|1
口|s|kuchi||guchi
古|s|ko|1
句|s|ku|1
另|s|ree|1
叧|s|ka|1
叨|s|too|1
叩|s|koo|1
只|s|tada|1
叫|s|kyoo|1
召|s|shoo|1
叭|s|hatsu|1
叮|s|tee|1
可|s|ka|1
台|s|dai|1
叱|s|shitsu|1
史|s|shi|1
右|s|migi
叵|s|ha|1
叶|s|kyoo|1
号|s|goo|1
司|s|shi|1
吁|s|ku|1
吂|s|boo|1
吃|s|kitsu|1
各|s|kaku|1
合|s|goo|1
吉|s|kichi|1
吊|s|choo|1
吋|s|inchi|1
同|s|doo|1
名|s|mee|1
后|s|koo|1
吏|s|ri|1
吐|s|to|1
向|s|koo|1
吓|s|ka|1
吚|s|i|1
君|s|kimi||kun
吝|s|rin|1
吟|s|gin|1
吠|s|hai|1
吡|s|hitsu|1
否|s|hi
吧|s|ha|1
吨|s|ton|1
吩|s|fun|1
吪|s|guu|1
含|s|gan|1
听|s|kin|1
吭|s|koo|1
吮|s|sen|1
吱|s|shi|1
吵|s|byoo|1
